repo,issue_text,label
facebook/react,"[ devtools bug ] cannot add node "" <number> "" because a node with that id is already in the store . # # # website or app private repo cannot give access to application # # # repro steps <number> . run application # # # how often does this bug happen ? every time # # # devtools package ( automated ) react - devtools - extensions # # # devtools version ( automated ) <number> . <number> - 0 3 5 a41c4e # # # error message ( automated ) cannot add node "" <number> "" because a node with that id is already in the store . # # # error call stack ( automated ) ` ` ` text at chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> at bridge . emit ( chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> ) at chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> at listener ( chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> ) ` ` ` # # # error component stack ( automated ) _no response_ # # # github query string ( automated ) ` ` ` text <url> add node because a node with that id is already in the store . in : title is : issue is : open is : public label : "" component tools "" repo : facebook / react ` ` `",0
facebook/react,"[ devtools bug ] extension build failing in windows and ubuntu # # # website or app n / a # # # repro steps been working on react devtools extension for a while now , my mac got some issue so i switched to a windows machine but currently i am unable to build the react devtool extension and run it locally here is the napshot of the error [ windows powershell 7 _28_2023 1 0 _43_05 am ] ( <url> # # # how often does this bug happen ? every time # # # devtools package ( automated ) _no response_ # # # devtools version ( automated ) _no response_ # # # error message ( automated ) _no response_ # # # error call stack ( automated ) _no response_ # # # error component stack ( automated ) _no response_ # # # github query string ( automated ) _no response_",0
facebook/react,"[ devtools bug ] __react_devtools_global_hook__ ? <repeated> # # # website or app <url> # # # repro steps hi , i have heard that the new versions of react will not support the react_devtools_global_hook . if there any information about this update that you can share . is there a new way to achieve the same result of using the react_devtools_global_hook but with a different method ? what is the future of react without the react_devtools_global_hook ? reactime and react inspector in the chrome store use this hook # # # how often does this bug happen ? every time # # # devtools package ( automated ) _no response_ # # # devtools version ( automated ) _no response_ # # # error message ( automated ) _no response_ # # # error call stack ( automated ) _no response_ # # # error component stack ( automated ) _no response_ # # # github query string ( automated ) _no response_",0
facebook/react,"[ devtools bug ] cannot remove node "" <number> "" because no matching node was found in the store . # # # website or app local # # # repro steps open react - devtools # # # how often does this bug happen ? every time # # # devtools package ( automated ) react - devtools - core # # # devtools version ( automated ) <number> . <number> - 2 4 6 8 a8735 # # # error message ( automated ) cannot remove node "" <number> "" because no matching node was found in the store . # # # error call stack ( automated ) ` ` ` text at / users / wangx / . config / yarn / global / node_modules / react - devtools - core / dist / standalone . js : <number> <time> <number> at f . emit ( / users / wangx / . config / yarn / global / node_modules / react - devtools - core / dist / standalone . js : <number> <time> <number> ) at / users / wangx / . config / yarn / global / node_modules / react - devtools - core / dist / standalone . js : <number> <time> <number> at / users / wangx / . config / yarn / global / node_modules / react - devtools - core / dist / standalone . js : <number> : <number> at array . foreach ( <anonymous> ) at lh . e . onmessage ( / users / wangx / . config / yarn / global / node_modules / react - devtools - core / dist / standalone . js : <number> : <number> ) at a . t ( / users / wangx / . config / yarn / global / node_modules / react - devtools - core / dist / standalone . js : <number> <time> <number> ) at a . emit ( node : events : <number> <time> ) at e . exports . f ( / users / wangx / . config / yarn / global / node_modules / react - devtools - core / dist / standalone . js : <time> <number> ) at e . exports . emit ( node : events : <number> <time> ) ` ` ` # # # error component stack ( automated ) _no response_ # # # github query string ( automated ) ` ` ` text <url> remove node because no matching node was found in the store . in : title is : issue is : open is : public label : "" component tools "" repo : facebook / react ` ` `",0
facebook/react,"[ devtools bug ] cannot remove node "" <number> "" because no matching node was found in the store . # # # website or app localhost # # # repro steps - # # # how often does this bug happen ? every time # # # devtools package ( automated ) react - devtools - extensions # # # devtools version ( automated ) <number> . <number> - 2 4 6 8 a8735 # # # error message ( automated ) cannot remove node "" <number> "" because no matching node was found in the store . # # # error call stack ( automated ) ` ` ` text emit <user> - extension :// a02c2c83 - f439 - 4 a45 - 9 7 2 b - 9 2 8 bb0916901 / build / main . js : <number> <time> bridge_bridge / this . _wallunlisten < <user> - extension :// a02c2c83 - f439 - 4 a45 - 9 7 2 b - 9 2 8 bb0916901 / build / main . js : <number> <time> listener <user> - extension :// a02c2c83 - f439 - 4 a45 - 9 7 2 b - 9 2 8 bb0916901 / build / main . js : <number> <time> ` ` ` # # # error component stack ( automated ) _no response_ # # # github query string ( automated ) ` ` ` text <url> remove node because no matching node was found in the store . in : title is : issue is : open is : public label : "" component tools "" repo : facebook / react ` ` `",0
facebook/react,"[ devtools bug ] : app not recognized in firefox , but works in chrome # # # website or app - # # # repro steps on both firefox <number> and <number> the react devtools extension says page does not appear to be using react "" . on the most recent version of chrome it ' s working just fine . i cannot share the project since it ' s a private project unfortunately , but i suspect this is a regression introduced with the recent <url> especially since the devtools were working perfectly fine until maybe one or two weeks ago . it _does_ work in incognito mode in firefox . # # # how often does this bug happen ? every time # # # devtools package ( automated ) _no response_ # # # devtools version ( automated ) _no response_ # # # error message ( automated ) _no response_ # # # error call stack ( automated ) _no response_ # # # error component stack ( automated ) _no response_ # # # github query string ( automated ) _no response_",0
facebook/react,"[ devtools bug ] : using different react instances across multiple frames throws errors # # # website or app <url> # # # repro steps <number> . visit the codepen linked above . <number> . be sure to open the debug view , so codepen does not add any additional iframes ( [ more info ] ( <url> <number> . observe : - warning in the console tab : ` invalid renderer id "" <number> "" ` . - error in the components tab : ` uncaught error : cannot add node "" <number> "" because a node with that id is already in the store ` . - after dismissing the error , all components seem to be accounted for ( you might need to adjust the "" hide components where . <repeated> "" option ) . in my actual application the error pops up for every change in the tree , making the devtools virtually unusable . note : this only seems to happen if the iframe is added some time after the initial react tree was mounted in the parent window . when i remove the ` settimeout ` so the iframe is added synchronously , i no longer see any warnings . related issues <url> - <url> # # # how often does this bug happen ? every time # # # devtools package ( automated ) _no response_ # # # devtools version ~ ( automated ) ~ ( manual ) <number> . <number> ( <date> ) in google chrome version <number> . <number> ( official build ) ( <number> - bit ) # # # error message ~ ( automated ) ~ ( manual ) cannot add node "" <number> "" because a node with that id is already in the store . # # # error call stack ~ ( automated ) ~ ( manual ) ` ` ` at chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> at bridge_bridge . emit ( chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> ) at chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> at listener ( chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> ) ` ` ` # # # error component stack ( automated ) _no response_ # # # github query string ( automated ) _no response_",0
facebook/react,"[ devtools bug ] cannot remove node "" <number> "" because no matching node was found in the store . # # # website or app <url> # # # repro steps <url> # # # how often does this bug happen ? every time # # # devtools package ( automated ) react - devtools - extensions # # # devtools version ( automated ) <number> . <number> - 7 f8c501f6 # # # error message ( automated ) cannot remove node "" <number> "" because no matching node was found in the store . # # # error call stack ( automated ) ` ` ` text at chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> at bridge_bridge . emit ( chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> ) at chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> at listener ( chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> ) ` ` ` # # # error component stack ( automated ) _no response_ # # # github query string ( automated ) ` ` ` text <url> remove node because no matching node was found in the store . in : title is : issue is : open is : public label : "" component tools "" repo : facebook / react ` ` `",0
facebook/react,"[ devtools bug ] cannot remove node "" <number> "" because no matching node was found in the store . # # # website or app http :// localhost : <number> / # # # repro steps <number> . accessing react dev from a local app ' ' # # # how often does this bug happen ? sometimes # # # devtools package ( automated ) react - devtools - extensions # # # devtools version ( automated ) <number> . <number> - 7 f8c501f6 # # # error message ( automated ) cannot remove node "" <number> "" because no matching node was found in the store . # # # error call stack ( automated ) ` ` ` text at chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> at bridge_bridge . emit ( chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> ) at chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> at listener ( chrome - extension :// fmkadmapgofadopljbjfkapdkoienihi / build / main . js : <number> <time> ) ` ` ` # # # error component stack ( automated ) _no response_ # # # github query string ( automated ) ` ` ` text <url> remove node because no matching node was found in the store . in : title is : issue is : open is : public label : "" component tools "" repo : facebook / react ` ` `",0
facebook/react,[ devtools bug ] to build the extension locally # # # website or app n / a # # # repro steps i am trying to build the chrome extension for react dev tools locally to test changes as i am looking forward to fix this issue <url> but there seem to be some error with the packages looking forward to get some help ! [ windows powershell 4 _25_2023 9 _44_03 am ] ( <url> # # # how often does this bug happen ? every time # # # devtools package ( automated ) _no response_ # # # devtools version ( automated ) _no response_ # # # error message ( automated ) _no response_ # # # error call stack ( automated ) _no response_ # # # error component stack ( automated ) _no response_ # # # github query string ( automated ) _no response_,0
